cdatetime;address;district;crimedescr;ucr_ncic_code;severity
01.01.2006 01:00;2600 N ST;3;459 PC  BURGLARY VEHICLE;2299;8
01.01.2006 01:06;4740 BECKET WAY;5;459 PC  BURGLARY RESIDENCE;2204;4
01.01.2006 01:30;CALVINE RD / CENTER PKWY;5;243(D) PC BATT/CIVILIAN W/INJ;1315;9
01.01.2006 01:30;6625 VALLEY HI DR;5;10851(A)VC TAKE VEH W/O OWNER;2404;9
01.01.2006 01:51;RAINBOW AVE / HOWE AVE;2;246/3 PC NEGL DISCH FIREARM;5213;9
01.01.2006 02:00;2500 FLORIN RD;5;487(A) PC GRAND THEFT;2303;4
01.01.2006 02:09;3012 ALBATROSS WAY;2;CASUALTY REPORT;7000;9
01.01.2006 02:10;1426 0BREWERTON DR;1;246 0PC SHOOT OCCUP DWELL/VEH;5213;2
01.01.2006 02:14;FRONT ST / K ST;3;LOST PROPERTY - I RPT;7000;3
01.01.2006 02:30;3807 24TH AVE;6;CASUALTY REPORT;7000;8
01.01.2006 02:40;EMPRESS ST / ARDEN WAY;2;11351/5 HS POSS SALE RCK COCAI;3532;6
01.01.2006 02:40;1415 L ST;3;211 PC  ROBBERY UNSPECIFIED;1299;3
01.01.2006 02:47;2737 SCREECH OWL WAY;1;594(B)(2)(A) VANDALISM/ -$400;2999;10
01.01.2006 02:54;1900 CANTERBURY RD;2;243(E)1 BATTERY NONCOHAB SPOUS;1315;6
01.01.2006 03:00;7769 AMHERST ST;5;10851(A)VC TAKE VEH W/O OWNER;2404;8
01.01.2006 03:00;100 ROCKMONT CIR;1;594(B)(2)(A) VANDALISM/ -$400;2999;10
01.01.2006 03:28;8032 TORRENTE WAY;5;459 PC  BURGLARY RESIDENCE;2204;10
01.01.2006 03:30;POWER INN RD / ELDER CREEK RD;6;TRAFFIC-ACCIDENT-NON INJURY;5400;7
01.01.2006 03:52;1125 ALHAMBRA BLVD;3;475(C) PASS FORGED NOTE;252006;3
01.01.2006 04:00;4128 NORWOOD AVE;2;245(A)(2) AWDW/FIREARM/CIVILIA;1315;10
01.01.2006 04:00;HONOR PKWY / REGENCY PARK CIR;1;11377(A)HS POSS AMPHETAMINES;3572;7
01.01.2006 04:00;3 CLOE CT;1;487(A) GRAND THEFT-INSIDE;2308;7
01.01.2006 04:00;8454 COEBURN ST;5;459 PC  BURGLARY VEHICLE;2299;8
01.01.2006 04:00;5620 34TH AVE;6;459 PC  BURGLARY VEHICLE;2299;2
01.01.2006 04:15;BROADWAY / 16TH ST;4;TRAFFIC-ACCIDENT-NON INJURY;5400;4
01.01.2006 04:15;1414 43RD ST;3;484 PC   PETTY THEFT/INSIDE;2308;3
01.01.2006 04:20;FLORIN RD / MUNSON WAY;5;TOWED/STORED VEH-14602/6;7000;8
01.01.2006 04:30;1 CLAUSS CT;6;10851(A)VC TAKE VEH W/O OWNER;2404;5
01.01.2006 05:14;MACK RD / CENTER PKWY;5;20002(A) HIT/RUN;5401;7
01.01.2006 05:22;1426 0I ST;3;5150 WI DANGER SELF/OTHERS;7000;4
01.01.2006 06:00;MACK RD / CENTER PKWY;5;TOWED/STORED VEHICLE;7000;2
01.01.2006 06:00;1236 0EL ENCANTO WAY;4;487(A) PC GRAND THEFT;2303;4
01.01.2006 06:10;2801 L ST;3;IMPOUNDED VEHICLE;7000;8
01.01.2006 06:27;2884 DEL PASO BLVD;2;10851(A)VC TAKE VEH W/O OWNER;2404;2
01.01.2006 06:46;J ST / 29TH ST;3;20002(A) HIT/RUN;5401;7
01.01.2006 07:00;2518 HAWTHORNE ST;2;459 PC  BURGLARY RESIDENCE;2204;4
01.01.2006 07:20;AZEVEDO DR / YARWOOD WAY;1;PERSON INFORMATION - I RPT;7000;4
01.01.2006 07:30;6021 WILKINSON ST;6;653M(B) PC ANNOY/RPT CALL HOME;5307;7
01.01.2006 07:45;1200 ROANOKE AVE;2;459 PC  BURGLARY VEHICLE;2299;10
01.01.2006 07:46;RIO LINDA BLVD / MAIN AVE;2;20002(A) HIT/RUN;5401;3
01.01.2006 07:55;398 FLORIN RD;4;211 PC ROBBERY- BUSINESS;1299;5
01.01.2006 07:55;525 EXCHANGE ST;2;CASUALTY REPORT;7000;1
01.01.2006 08:00;535 LAMPASAS AVE;2;594(B)(2)(A) VANDALISM/ -$400;2999;4
01.01.2006 08:00;12 GRAND CANYON CT;1;LOST PROPERTY - I RPT;7000;3
01.01.2006 08:00;3709 PRESIDIO ST;2;LOST PROPERTY - I RPT;7000;7
01.01.2006 08:00;FLORIN RD / FRANKLIN BLVD;5;LOST PROPERTY - I RPT;7000;7
01.01.2006 08:00;3615 33RD ST;6;484J PC PUBLISH CARD INFO;2605;8
01.01.2006 08:00;2324 NORTH AVE;2;LOST PROPERTY - I RPT;7000;9
01.01.2006 08:00;2800 CHATEAU MONTELENA WAY;1;530 PC FALSE PERS/ REC PROP;2604;4
01.01.2006 08:00;1820 FRIENZA AVE;2;459 PC  BURGLARY BUSINESS;2203;10
01.01.2006 08:00;2230 J ST;3;1708 US   THEFT OF MAIL;2310;8
01.01.2006 08:00;6581 HARMON DR;4;LOST PROPERTY - I RPT;7000;1
01.01.2006 08:00;6054 RIVERSIDE BLVD;4;530/5 PC USE PERSONAL ID INFO;2604;8
01.01.2006 08:00;1545 RIVER PARK DR;2;484 PETTY THEFT CLOUT UNLOCKED;2305;1
01.01.2006 08:00;1287 TRAIL END WAY;1;484G(B) PC ACCESS CARD FRAUD;2605;10
01.01.2006 08:00;2215 BORONA WAY;1;530 PC FALSE PERS/ REC PROP;2604;5
01.01.2006 08:00;6 0SHELTER POINT CT;4;TELEPEST -I RPT;7000;10
01.01.2006 08:00;970 FRIENZA AVE;2;SUSP PERS-NO CRIME - I RPT;7000;1
01.01.2006 08:00;1631 W EL CAMINO AVE;1;530 PC FALSE PERS/ REC PROP;2604;9
01.01.2006 08:05;SWEET PEA WAY / SHADY ARBOR CT;1;10851 VC AUTO THEFT LOCATE;2404;7
01.01.2006 08:57;RIO LINDA BLVD / MAIN AVE;2;TOWED/STORED VEHICLE;7000;3
01.01.2006 09:00;5878 KAHARA CT;4;653M(B) PC ANNOY/RPT CALL HOME;5307;3
01.01.2006 09:15;18 GODELLO CT;1;242 PC  BATTERY CIVILIAN;1313;4
01.01.2006 09:15;7850 COLLEGE TOWN DR;3;11377(A)HS POSS AMPHETAMINES;3572;5
01.01.2006 09:30;4947 KOKOMO DR;1;TOWED/STORED VEHICLE;7000;2
01.01.2006 09:45;HOWE AVE / AMERICAN RIVER DR;3;TOWED/STORED VEHICLE;7000;8
01.01.2006 09:53;4650 NATOMAS BLVD;1;52006 0PC EMBEZZLEMENT/CONTRACTOR;2799;5
01.01.2006 10:00;3724 SAN CARLOS WAY;6;MISSING PERSON I RPT;7000;7
01.01.2006 10:00;4410 CRESTWOOD WAY;4;BURGLARY - I RPT;7000;3
01.01.2006 10:00;1500 TESSA AVE;2;TOWED/STORED VEHICLE;7000;2
01.01.2006 10:00;7500 HOSPITAL DR;5;THREATS - I RPT;7000;6
01.01.2006 10:00;8545 FOLSOM BLVD;3;MISSING PERSON;7000;4
01.01.2006 10:30;8105 PHINNEY DR;5;459 PC  BURGLARY RESIDENCE;2204;9
01.01.2006 10:30;401 J ST;3;594(B)(2)(A) VANDALISM/ -$400;2999;7
01.01.2006 11:00;3632 52ND ST;6;459 PC  BURGLARY RESIDENCE;2204;4
01.01.2006 11:01;SAN FRANCISCO BLVD / 50TH ST;6;11364 HS POSS DRUG PARAPH;3599;3
01.01.2006 11:04;5524 DANJAC CIR;4;TOWED/STORED VEHICLE;7000;3
01.01.2006 11:08;2571 ALTOS AVE;2;CASUALTY REPORT;7000;9
01.01.2006 11:10;414 K ST;3;484 PETTY THEFT-SHOPLIFT;2303;7
01.01.2006 11:30;7486 0CARELLA DR;5;MISSING PERSON;7000;9
01.01.2006 11:30;7TH ST / J ST;3;11364 HS POSS DRUG PARAPH;3599;6
01.01.2006 11:30;5701 LERNER WAY;5;MISSING PERSON;7000;4
01.01.2006 11:46;1321 E ST;3;HARASSMENT - I RPT;7000;6
01.01.2006 11:49;1912 BOWLING GREEN DR;2;O/S AGENCY -ASSISTANCE- I RPT;7000;8
01.01.2006 12:00;3555 AUBURN BLVD;2;MISSING PERSON;7000;7
01.01.2006 12:00;7526 0TITIAN PKWY;5;10851(A)VC TAKE VEH W/O OWNER;2404;2
01.01.2006 12:00;12 WATERGLEN CIR;3;487(D)GRAND THEFT FIREARM/ANIM;2399;7
01.01.2006 12:00;4733 NASHUA WAY;2;484G(B) PC ACCESS CARD FRAUD;2605;7
